date,match_number,city,team_1,team_2,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2009-05-18,51,Centurion,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,BJ Hodge,Chennai Super Kings,bat,S Venkataraghavan,JD Cloete,SK Tarapore,SJA Taufel,RB Tiffin,7.0,2009,SuperSportPark,,group_stage,regular
2009-05-19,52,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,JH Kallis,Delhi Daredevils,bat,J Srinath,KH Hurter,S Asnani,IL Howell,RB Tiffin,7.0,2009,NewWanderersStadium,,group_stage,regular
2009-05-20,53,Durban,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,LR Shukla,Kolkata Knight Riders,field,D Govindjee,EC Hendrikse,SS Hazare,BG Jerling,SJA Taufel,4.0,2009,Kingsmead,,group_stage,regular
2009-05-20,54,Durban,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,M Muralitharan,Chennai Super Kings,bat,D Govindjee,EC Hendrikse,SS Hazare,BG Jerling,SJA Taufel,,2009,Kingsmead,24.0,group_stage,regular
2009-05-21,55,Centurion,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,V Sehwag,Delhi Daredevils,field,S Venkataraghavan,MW Brown,SK Tarapore,IL Howell,S Ravi,4.0,2009,SuperSportPark,,group_stage,regular
2009-05-21,56,Centurion,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,MK Pandey,Royal Challengers Bangalore,bat,S Venkataraghavan,MW Brown,SK Tarapore,IL Howell,S Ravi,,2009,SuperSportPark,12.0,group_stage,regular
2009-05-22,Semi Final,Centurion,Delhi Daredevils,Deccan Chargers,Deccan Chargers,AC Gilchrist,Deccan Chargers,field,S Venkataraghavan,JD Cloete,RE Koertzen,BR Doctrove,DJ Harper,6.0,2009,SuperSportPark,,Semi Final,regular
2009-05-23,Semi Final,Johannesburg,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,MK Pandey,Royal Challengers Bangalore,field,J Srinath,KH Hurter,IL Howell,RE Koertzen,SJA Taufel,6.0,2009,NewWanderersStadium,,Semi Final,regular
2009-05-24,Final,Johannesburg,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,A Kumble,Royal Challengers Bangalore,field,J Srinath,ZTA Ndamane,DJ Harper,RE Koertzen,SJA Taufel,,2009,NewWanderersStadium,6.0,Final,regular
2010-03-12,1,Mumbai,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,AD Mathews,Deccan Chargers,field,AJ Pycroft,SN Bandekar,BG Jerling,RE Koertzen,RB Tiffin,,2010,DrDYPatilSportsAcademy,11.0,group_stage,regular
2010-03-13,2,Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,YK Pathan,Mumbai Indians,bat,AJ Pycroft,VM Bandiwadekar,BG Jerling,RE Koertzen,RB Tiffin,,2010,BrabourneStadium,4.0,group_stage,regular
2010-03-13,3,Chandigarh,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,G Gambhir,Delhi Daredevils,field,S Venkataraghavan,C Shamshuddin,SK Tarapore,BR Doctrove,S Ravi,5.0,2010,PunjabCricketAssociationStadium,,group_stage,regular
2010-03-14,4,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,MK Tiwary,Kolkata Knight Riders,field,Yashpal Sharma,R Shankar,M Erasmus,HDPK Dharmasena,AM Saheba,7.0,2010,EdenGardens,,group_stage,regular
2010-03-14,5,Chennai,Deccan Chargers,Chennai Super Kings,Deccan Chargers,WPUJC Vaas,Deccan Chargers,bat,D Govindjee,J Madanagopal,S Das,K Hariharan,DJ Harper,,2010,MAChidambaramStadium,31.0,group_stage,regular
2010-03-15,6,Ahmedabad,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,V Sehwag,Delhi Daredevils,field,AJ Pycroft,S Dua,RB Tiffin,BG Jerling,RE Koertzen,6.0,2010,SardarPatelStadium,,group_stage,regular
2010-03-16,7,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,JH Kallis,Kings XI Punjab,bat,D Govindjee,KN Ananthapadmanabhan,K Hariharan,S Das,DJ Harper,8.0,2010,MChinnaswamyStadium,,group_stage,regular
2010-03-16,8,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,MS Dhoni,Chennai Super Kings,bat,Yashpal Sharma,R Shankar,M Erasmus,HDPK Dharmasena,AM Saheba,,2010,EdenGardens,55.0,group_stage,regular
2010-03-17,9,Delhi,Mumbai Indians,Delhi Daredevils,Mumbai Indians,SR Tendulkar,Delhi Daredevils,field,S Venkataraghavan,A Chaudhary,S Ravi,BR Doctrove,SK Tarapore,,2010,FerozShahKotla,98.0,group_stage,regular
2010-03-18,10,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,JH Kallis,Royal Challengers Bangalore,field,D Govindjee,KN Ananthapadmanabhan,S Das,K Hariharan,DJ Harper,10.0,2010,MChinnaswamyStadium,,group_stage,regular
2010-03-19,11,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,ML Hayden,Delhi Daredevils,bat,S Venkataraghavan,A Chaudhary,S Ravi,BR Doctrove,SK Tarapore,5.0,2010,FerozShahKotla,,group_stage,regular
2010-03-19,12,Cuttack,Deccan Chargers,Kings XI Punjab,Deccan Chargers,A Symonds,Kings XI Punjab,field,GR Viswanath,BK Ravi,AM Saheba,BF Bowden,M Erasmus,,2010,BarabatiStadium,6.0,group_stage,regular
2010-03-20,13,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,AA Jhunjhunwala,Rajasthan Royals,bat,AJ Pycroft,S Dua,BG Jerling,RE Koertzen,RB Tiffin,,2010,SardarPatelStadium,34.0,group_stage,regular
2010-03-20,14,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,JH Kallis,Mumbai Indians,bat,Yashpal Sharma,SN Bandekar,SK Tarapore,HDPK Dharmasena,SS Hazare,7.0,2010,BrabourneStadium,,group_stage,regular
2010-03-21,15,Cuttack,Deccan Chargers,Delhi Daredevils,Deccan Chargers,A Symonds,Deccan Chargers,bat,GR Viswanath,BK Ravi,AM Saheba,BF Bowden,M Erasmus,,2010,BarabatiStadium,10.0,group_stage,regular
2010-03-21,16,Chennai,Kings XI Punjab,Chennai Super Kings,tie,J Theron,Chennai Super Kings,field,S Venkataraghavan,,S Das,K Hariharan,DJ Harper,,2010,MAChidambaramStadium,,group_stage,regular
2010-03-22,17,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,SR Tendulkar,Kolkata Knight Riders,bat,Yashpal Sharma,VM Bandiwadekar,HDPK Dharmasena,SS Hazare,SJA Taufel,7.0,2010,BrabourneStadium,,group_stage,regular
2010-03-23,18,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,RV Uthappa,Chennai Super Kings,field,AJ Pycroft,KN Ananthapadmanabhan,BG Jerling,RE Koertzen,RB Tiffin,,2010,MChinnaswamyStadium,36.0,group_stage,regular
2010-03-24,19,Chandigarh,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,AC Voges,Kings XI Punjab,field,S Venkataraghavan,C Shamshuddin,S Ravi,BR Doctrove,SK Tarapore,,2010,PunjabCricketAssociationStadium,31.0,group_stage,regular
2010-03-25,20,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,KM Jadhav,Royal Challengers Bangalore,field,AJ Pycroft,KN Ananthapadmanabhan,RB Tiffin,BG Jerling,RE Koertzen,,2010,MChinnaswamyStadium,17.0,group_stage,regular
2010-03-25,21,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,SR Tendulkar,Mumbai Indians,field,GR Viswanath,SN Bandekar,M Erasmus,AM Saheba,BF Bowden,5.0,2010,BrabourneStadium,,group_stage,regular
2010-03-26,22,Ahmedabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan,Deccan Chargers,bat,RS Mahanama,S Dua,SS Hazare,HDPK Dharmasena,SJA Taufel,8.0,2010,SardarPatelStadium,,group_stage,regular
2010-03-27,23,Chandigarh,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,MK Tiwary,Kolkata Knight Riders,bat,S Venkataraghavan,C Shamshuddin,SK Tarapore,BR Doctrove,S Ravi,,2010,PunjabCricketAssociationStadium,39.0,group_stage,regular
2010-03-28,24,Ahmedabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,NV Ojha,Rajasthan Royals,bat,RS Mahanama,S Dua,HDPK Dharmasena,SS Hazare,SJA Taufel,,2010,SardarPatelStadium,17.0,group_stage,regular
2010-03-28,25,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,Harbhajan Singh,Deccan Chargers,field,GR Viswanath,SN Bandekar,DJ Harper,S Das,K Hariharan,,2010,DrDYPatilSportsAcademy,41.0,group_stage,regular
2010-03-29,26,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,DA Warner,Delhi Daredevils,bat,RS Mahanama,A Chaudhary,HDPK Dharmasena,SS Hazare,SJA Taufel,,2010,FerozShahKotla,40.0,group_stage,regular
2010-03-30,27,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,SL Malinga,Mumbai Indians,field,S Venkataraghavan,VM Bandiwadekar,S Ravi,BR Doctrove,SK Tarapore,4.0,2010,BrabourneStadium,,group_stage,regular
2010-03-31,28,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,M Vijay,Royal Challengers Bangalore,bat,AJ Pycroft,J Madanagopal,RB Tiffin,BG Jerling,RE Koertzen,5.0,2010,MAChidambaramStadium,,group_stage,regular
2010-03-31,29,Delhi,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,KD Karthik,Delhi Daredevils,bat,RS Mahanama,A Chaudhary,SS Hazare,HDPK Dharmasena,SJA Taufel,,2010,FerozShahKotla,67.0,group_stage,regular
2010-04-01,30,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,bat,GR Viswanath,R Shankar,S Asnani,K Hariharan,DJ Harper,,2010,EdenGardens,24.0,group_stage,regular
2010-04-02,31,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,KP Pietersen,Kings XI Punjab,bat,D Govindjee,C Shamshuddin,AM Saheba,BF Bowden,M Erasmus,6.0,2010,PunjabCricketAssociationStadium,,group_stage,regular
2010-04-03,32,Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,M Vijay,Chennai Super Kings,bat,AJ Pycroft,J Madanagopal,BG Jerling,RE Koertzen,RB Tiffin,,2010,MAChidambaramStadium,23.0,group_stage,regular
2010-04-03,33,Mumbai,Mumbai Indians,Deccan Chargers,Mumbai Indians,AT Rayudu,Mumbai Indians,bat,S Venkataraghavan,SN Bandekar,SK Tarapore,BR Doctrove,S Ravi,,2010,BrabourneStadium,63.0,group_stage,regular
2010-04-04,34,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,DPMD Jayawardene,Kolkata Knight Riders,bat,J Srinath,R Shankar,K Hariharan,S Asnani,DJ Harper,8.0,2010,EdenGardens,,group_stage,regular
2010-04-04,35,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,PD Collingwood,Delhi Daredevils,bat,D Govindjee,A Chaudhary,AM Saheba,BF Bowden,M Erasmus,,2010,FerozShahKotla,37.0,group_stage,regular
2010-04-05,36,Nagpur,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,SK Warne,Rajasthan Royals,bat,RS Mahanama,VM Bandiwadekar,SS Hazare,HDPK Dharmasena,SJA Taufel,,2010,VidarbhaCricketAssociationStadium,2.0,group_stage,regular
2010-04-06,37,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,SK Raina,Chennai Super Kings,bat,J Srinath,J Madanagopal,K Hariharan,S Asnani,DJ Harper,,2010,MAChidambaramStadium,24.0,group_stage,regular
2010-04-07,38,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,MJ Lumb,Kings XI Punjab,bat,S Venkataraghavan,K Sharma,BR Doctrove,S Ravi,SK Tarapore,9.0,2010,SawaiMansinghStadium,,group_stage,regular
2010-04-07,39,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,SC Ganguly,Kolkata Knight Riders,bat,AJ Pycroft,R Shankar,RB Tiffin,BG Jerling,RE Koertzen,,2010,EdenGardens,14.0,group_stage,regular
2010-04-08,40,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,TL Suman,Deccan Chargers,field,J Srinath,KN Ananthapadmanabhan,K Hariharan,S Asnani,DJ Harper,7.0,2010,MChinnaswamyStadium,,group_stage,regular
2010-04-09,41,Chandigarh,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,KC Sangakkara,Mumbai Indians,bat,D Govindjee,C Shamshuddin,BF Bowden,M Erasmus,AM Saheba,6.0,2010,PunjabCricketAssociationStadium,,group_stage,regular
2010-04-10,42,Nagpur,Chennai Super Kings,Deccan Chargers,Deccan Chargers,RJ Harris,Chennai Super Kings,bat,RS Mahanama,VM Bandiwadekar,SS Hazare,HDPK Dharmasena,SJA Taufel,6.0,2010,VidarbhaCricketAssociationStadium,,group_stage,regular
2010-04-10,43,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,R Vinay Kumar,Royal Challengers Bangalore,field,J Srinath,KN Ananthapadmanabhan,S Asnani,K Hariharan,DJ Harper,7.0,2010,MChinnaswamyStadium,,group_stage,regular
2010-04-11,44,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,PP Chawla,Delhi Daredevils,bat,D Govindjee,A Chaudhary,M Erasmus,BF Bowden,AM Saheba,7.0,2010,FerozShahKotla,,group_stage,regular
2010-04-11,45,Jaipur,Mumbai Indians,Rajasthan Royals,Mumbai Indians,SR Tendulkar,Rajasthan Royals,field,S Venkataraghavan,K Sharma,S Ravi,BR Doctrove,SK Tarapore,,2010,SawaiMansinghStadium,37.0,group_stage,regular
2010-04-12,46,Nagpur,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,Harmeet Singh,Royal Challengers Bangalore,field,AJ Pycroft,VM Bandiwadekar,BG Jerling,RE Koertzen,RB Tiffin,,2010,VidarbhaCricketAssociationStadium,13.0,group_stage,regular
2010-04-13,47,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,KA Pollard,Mumbai Indians,bat,J Srinath,SN Bandekar,K Hariharan,S Asnani,DJ Harper,,2010,BrabourneStadium,39.0,group_stage,regular
2010-04-13,48,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,R Ashwin,Kolkata Knight Riders,bat,GR Viswanath,J Madanagopal,HDPK Dharmasena,SS Hazare,SJA Taufel,9.0,2010,MAChidambaramStadium,,group_stage,regular
2010-04-14,49,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,KP Pietersen,Rajasthan Royals,bat,S Venkataraghavan,K Sharma,SK Tarapore,BR Doctrove,S Ravi,5.0,2010,SawaiMansinghStadium,,group_stage,regular
2010-04-15,50,Chennai,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,G Gambhir,Chennai Super Kings,bat,GR Viswanath,J Madanagopal,SJA Taufel,HDPK Dharmasena,SS Hazare,6.0,2010,MAChidambaramStadium,,group_stage,regular
2010-04-16,51,Dharamsala,Kings XI Punjab,Deccan Chargers,Deccan Chargers,RG Sharma,Deccan Chargers,field,D Govindjee,C Shamshuddin,BF Bowden,M Erasmus,AM Saheba,5.0,2010,HimachalPradeshCricketAssociationStadium,,group_stage,regular
2010-04-17,52,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,R McLaren,Royal Challengers Bangalore,field,GR Viswanath,KN Ananthapadmanabhan,SS Hazare,HDPK Dharmasena,SJA Taufel,,2010,MChinnaswamyStadium,57.0,group_stage,regular
2010-04-17,53,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,JD Unadkat,Rajasthan Royals,bat,AJ Pycroft,R Shankar,RE Koertzen,BG Jerling,RB Tiffin,8.0,2010,EdenGardens,,group_stage,regular
2010-04-18,54,Dharamsala,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,MS Dhoni,Chennai Super Kings,field,D Govindjee,C Shamshuddin,M Erasmus,BF Bowden,AM Saheba,6.0,2010,HimachalPradeshCricketAssociationStadium,,group_stage,regular
2010-04-18,55,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,A Symonds,Deccan Chargers,bat,S Venkataraghavan,A Chaudhary,S Ravi,BR Doctrove,SK Tarapore,,2010,FerozShahKotla,11.0,group_stage,regular
2010-04-19,56,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,M Kartik,Mumbai Indians,bat,AJ Pycroft,R Shankar,RB Tiffin,BG Jerling,RE Koertzen,9.0,2010,EdenGardens,,group_stage,regular
2010-04-21,Semi Final,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,KA Pollard,Mumbai Indians,bat,J Srinath,SN Bandekar,DJ Harper,BR Doctrove,RB Tiffin,,2010,DrDYPatilSportsAcademy,35.0,Semi Final,regular
2010-04-22,Semi Final,Mumbai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,DE Bollinger,Chennai Super Kings,bat,J Srinath,SN Bandekar,DJ Harper,BR Doctrove,RB Tiffin,,2010,DrDYPatilSportsAcademy,38.0,Semi Final,regular
2010-04-24,3rd Place Play-Off,Mumbai,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,A Kumble,Deccan Chargers,bat,S Venkataraghavan,SN Bandekar,S Ravi,RE Koertzen,SJA Taufel,9.0,2010,DrDYPatilSportsAcademy,,3rd Place Play-Off,regular
2010-04-25,Final,Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,SK Raina,Chennai Super Kings,bat,S Venkataraghavan,SN Bandekar,S Ravi,RE Koertzen,SJA Taufel,,2010,DrDYPatilSportsAcademy,22.0,Final,regular
2011-04-08,1,Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,S Anirudha,Chennai Super Kings,bat,J Srinath,K Srinath,S Asnani,BR Doctrove,PR Reiffel,,2011,MAChidambaramStadium,2.0,group_stage,regular
2011-04-09,2,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,SK Trivedi,Rajasthan Royals,field,AJ Pycroft,C Shamshuddin,SS Hazare,RE Koertzen,SK Tarapore,8.0,2011,RajivGandhiInternationalStadium,,group_stage,regular
2011-04-09,3,Kochi,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,Kochi Tuskers Kerala,bat,Raju Mukherjee,KN Ananthapadmanabhan,AL Hill,HDPK Dharmasena,K Hariharan,6.0,2011,NehruStadium,,group_stage,regular
2011-04-10,4,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,SL Malinga,Delhi Daredevils,bat,S Venkataraghavan,A Chaudhary,SL Shastri,AM Saheba,RB Tiffin,8.0,2011,FerozShahKotla,,group_stage,regular
2011-04-10,5,Mumbai,Kings XI Punjab,Pune Warriors,Pune Warriors,SB Wagh,Kings XI Punjab,bat,J Srinath,NA Patwardhan,S Asnani,BR Doctrove,PR Reiffel,7.0,2011,DrDYPatilSportsAcademy,,group_stage,regular
2011-04-11,6,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,JH Kallis,Kolkata Knight Riders,bat,D Govindjee,S Das,S Ravi,RE Koertzen,SK Tarapore,,2011,EdenGardens,9.0,group_stage,regular
2011-04-12,7,Jaipur,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,SK Warne,Delhi Daredevils,bat,AJ Pycroft,R Subramanian,SS Hazare,Aleem Dar,RB Tiffin,6.0,2011,SawaiMansinghStadium,,group_stage,regular
2011-04-12,8,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,SR Tendulkar,Mumbai Indians,field,Raju Mukherjee,CK Nandan,K Hariharan,HDPK Dharmasena,AL Hill,9.0,2011,MChinnaswamyStadium,,group_stage,regular
2011-04-13,10,Mumbai,Kochi Tuskers Kerala,Pune Warriors,Pune Warriors,MD Mishra,Kochi Tuskers Kerala,bat,J Srinath,NA Patwardhan,BR Doctrove,S Asnani,PR Reiffel,4.0,2011,DrDYPatilSportsAcademy,,group_stage,regular
2011-04-13,9,Chandigarh,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,PC Valthaty,Kings XI Punjab,field,S Venkataraghavan,K Bharatan,AM Saheba,Asad Rauf,SL Shastri,6.0,2011,PunjabCricketAssociationStadium,,group_stage,regular
2011-04-14,11,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,DW Steyn,Royal Challengers Bangalore,field,D Govindjee,C Shamshuddin,SK Tarapore,RE Koertzen,S Ravi,,2011,RajivGandhiInternationalStadium,33.0,group_stage,regular
2011-04-15,12,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,field,AJ Pycroft,R Subramanian,RB Tiffin,Aleem Dar,SS Hazare,9.0,2011,SawaiMansinghStadium,,group_stage,regular
2011-04-15,13,Mumbai,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,BB McCullum,Kochi Tuskers Kerala,field,J Srinath,VA Kulkarni,S Asnani,BR Doctrove,PR Reiffel,8.0,2011,WankhedeStadium,,group_stage,regular
2011-04-16,14,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,Raju Mukherjee,K Srinath,K Hariharan,HDPK Dharmasena,AL Hill,,2011,MAChidambaramStadium,21.0,group_stage,regular
2011-04-16,15,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,PC Valthaty,Kings XI Punjab,field,D Govindjee,C Shamshuddin,SK Tarapore,RE Koertzen,S Ravi,8.0,2011,RajivGandhiInternationalStadium,,group_stage,regular
2011-04-17,16,Mumbai,Pune Warriors,Delhi Daredevils,Delhi Daredevils,Yuvraj Singh,Delhi Daredevils,field,S Venkataraghavan,NA Patwardhan,SL Shastri,Asad Rauf,AM Saheba,3.0,2011,DrDYPatilSportsAcademy,,group_stage,regular
2011-04-17,17,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,L Balaji,Kolkata Knight Riders,field,AJ Pycroft,S Das,SS Hazare,Aleem Dar,RB Tiffin,8.0,2011,EdenGardens,,group_stage,regular
2011-04-18,18,Kochi,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,BB McCullum,Kochi Tuskers Kerala,field,Raju Mukherjee,KN Ananthapadmanabhan,HDPK Dharmasena,K Hariharan,AL Hill,7.0,2011,NehruStadium,,group_stage,D/L
2011-04-19,19,Delhi,Deccan Chargers,Delhi Daredevils,Deccan Chargers,S Sohal,Deccan Chargers,bat,J Srinath,A Chaudhary,S Asnani,PR Reiffel,RJ Tucker,,2011,FerozShahKotla,16.0,group_stage,regular
2011-04-20,21,Mumbai,Pune Warriors,Mumbai Indians,Mumbai Indians,MM Patel,Pune Warriors,bat,Raju Mukherjee,VA Kulkarni,SL Shastri,Asad Rauf,AM Saheba,7.0,2011,WankhedeStadium,,group_stage,regular
2011-04-20,22,Kolkata,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,DPMD Jayawardene,Kolkata Knight Riders,field,AJ Pycroft,S Das,SS Hazare,Aleem Dar,RB Tiffin,,2011,EdenGardens,6.0,group_stage,regular
2011-04-21,23,Chandigarh,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,SE Marsh,Rajasthan Royals,field,J Srinath,K Bharatan,RJ Tucker,S Asnani,PR Reiffel,,2011,PunjabCricketAssociationStadium,48.0,group_stage,regular
2011-04-22,24,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,field,AJ Pycroft,S Das,Aleem Dar,SS Hazare,RB Tiffin,9.0,2011,EdenGardens,,group_stage,regular
2011-04-22,25,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Harbhajan Singh,Chennai Super Kings,field,Raju Mukherjee,VA Kulkarni,SL Shastri,Asad Rauf,AM Saheba,,2011,WankhedeStadium,8.0,group_stage,regular
2011-04-23,26,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,DA Warner,Kings XI Punjab,field,J Srinath,A Chaudhary,PR Reiffel,S Asnani,RE Koertzen,,2011,FerozShahKotla,29.0,group_stage,regular
2011-04-24,27,Hyderabad,Mumbai Indians,Deccan Chargers,Mumbai Indians,SL Malinga,Deccan Chargers,field,Raju Mukherjee,C Shamshuddin,K Hariharan,HDPK Dharmasena,AL Hill,,2011,RajivGandhiInternationalStadium,37.0,group_stage,regular
2011-04-24,28,Jaipur,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,SK Warne,Rajasthan Royals,field,D Govindjee,R Subramanian,S Ravi,BR Doctrove,SK Tarapore,8.0,2011,SawaiMansinghStadium,,group_stage,regular
2011-04-25,29,Chennai,Chennai Super Kings,Pune Warriors,Chennai Super Kings,MEK Hussey,Pune Warriors,field,AJ Pycroft,K Srinath,SS Hazare,Aleem Dar,RB Tiffin,,2011,MAChidambaramStadium,25.0,group_stage,regular
2011-04-26,30,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,field,J Srinath,A Chaudhary,PR Reiffel,S Asnani,RJ Tucker,3.0,2011,FerozShahKotla,,group_stage,regular
2011-04-27,31,Mumbai,Pune Warriors,Chennai Super Kings,Chennai Super Kings,DE Bollinger,Pune Warriors,bat,GF Labrooy,NA Patwardhan,AM Saheba,Asad Rauf,SL Shastri,8.0,2011,DrDYPatilSportsAcademy,,group_stage,regular
